year,month,day,latitude,longitude,depth_km,magnitude
1987,1,4,49.77,149.29,489,4.1
1987,1,9,39.9,141.68,67,6.8
1987,1,9,39.82,141.64,84,4.0
1987,1,14,42.56,142.85,102,6.5
1987,1,16,42.79,145.1,54,5.1
1987,1,17,39.82,141.67,83,4.0
1987,1,20,38.63,141.97,66,4.0
1987,1,22,43.16,146.48,65,4.6
1987,1,27,41.96,142.65,68,4.1
1987,1,27,35.48,140.82,61,4.1
1987,2,6,36.99,141.79,35,6.1
1987,2,6,36.99,141.69,47,6.5
1987,2,7,46.52,149.83,152,4.1
1987,2,10,42.34,147.92,41,4.3
1987,2,10,35.59,143.01,37,5.2
1987,2,11,43.17,132.29,499,4.8
1987,2,13,36.63,140.88,63,4.1
1987,2,28,36.96,141.6,48,5.3
1987,3,10,36.47,140.69,80,4.1
1987,3,10,36.92,141.66,47,5.5
1987,3,10,36.94,141.82,46,4.1
1987,3,10,40.61,145.26,39,5.1
1987,3,10,40.6,145.24,37,5.1
1987,3,16,40.57,145.32,36,4.5
1987,3,24,37.45,137.87,23,5.1
1987,3,30,43.88,147.66,33,4.0
1987,4,7,37.36,141.8,29,6.6
1987,4,10,36.06,139.72,69,4.1
1987,4,16,37.06,141.47,54,5.1
1987,4,17,35.67,140.0,80,4.1
1987,4,20,37.49,141.48,60,4.0
1987,4,22,37.15,141.57,30,6.6
1987,4,27,37.79,142.56,48,5.1
1987,5,1,37.11,141.83,47,5.0
1987,5,7,46.74,139.23,430,6.5
1987,5,9,36.2,141.81,45,4.3
1987,5,10,37.56,141.91,40,4.1
1987,5,11,38.9,141.99,52,4.9
1987,5,18,49.28,147.69,542,6.0
1987,5,18,44.41,147.1,110,4.5
1987,5,26,38.22,142.32,36,4.5
1987,6,5,39.73,142.82,58,5.5
1987,6,25,41.52,143.61,37,4.6
1987,6,26,37.09,142.12,20,4.6
1987,6,27,41.35,142.51,59,4.0
1987,6,30,36.17,139.99,69,4.0
1987,7,2,43.41,148.06,31,5.3
1987,7,4,43.49,147.91,47,5.4
1987,7,4,43.78,147.58,42,5.2
1987,7,4,43.43,147.87,38,5.1
1987,7,8,46.44,149.56,151,4.6
1987,7,11,36.95,142.67,38,5.5
1987,7,14,49.63,147.83,576,5.6
1987,7,20,43.85,146.88,69,4.1
1987,7,31,41.34,141.48,116,4.0
1987,8,10,43.63,147.66,53,4.3
1987,9,10,43.9,147.83,36,4.3
1987,9,13,39.43,144.73,33,4.9
1987,9,23,45.96,149.52,130,5.4
1987,9,24,36.6,141.3,42,5.8
1987,10,4,37.31,141.62,43,5.3
1987,10,8,43.43,142.17,182,4.5
1987,10,12,41.37,139.13,21,4.1
1987,10,17,35.44,139.13,53,4.1
1987,10,20,41.66,144.06,39,4.0
1987,11,6,43.42,146.26,61,4.3
1987,11,10,37.34,141.43,56,4.0
1987,11,12,44.51,149.47,45,4.8
1987,12,14,44.55,148.12,72,4.3
1987,12,17,35.36,140.21,62,6.4
1988,1,2,43.29,142.42,177,6.2
1988,1,4,46.51,149.88,204,4.3
1988,1,8,44.17,148.77,73,4.3
1988,1,16,35.25,140.34,48,4.1
1988,1,25,37.31,141.61,44,4.8
1988,1,29,36.71,140.73,77,4.0
1988,2,3,36.57,141.13,61,4.0
1988,2,12,35.53,140.64,58,4.3
1988,3,17,35.63,139.62,103,4.6
1988,4,19,41.45,142.02,70,4.0
1988,5,3,44.5,149.26,38,5.1
1988,5,7,43.31,147.89,25,4.6
1988,5,7,43.49,147.79,41,4.5
1988,5,7,43.38,147.79,41,4.5
1988,5,7,42.6,143.75,72,5.7
1988,5,7,43.36,147.76,39,4.0
1988,5,8,42.32,142.97,69,4.1
1988,5,15,43.78,147.74,56,4.6
1988,6,21,44.59,148.86,49,5.1
1988,6,26,46.26,144.1,326,4.3
1988,7,6,41.74,144.2,30,6.3
1988,7,6,41.71,144.12,39,4.5
1988,7,6,41.72,144.17,33,5.7
1988,7,17,37.05,142.23,31,5.4
1988,7,30,44.77,149.89,61,6.0
1988,8,12,35.02,139.8,70,4.3
1988,8,21,44.57,149.47,52,4.0
1988,9,4,35.42,138.96,51,4.5
1988,9,7,41.93,142.2,73,4.0
1988,9,20,42.28,144.76,41,4.5
1988,9,26,35.53,141.07,29,5.4
1988,10,10,42.64,144.45,56,5.3
1988,10,12,44.0,148.6,65,4.6
1988,10,17,45.79,149.62,33,4.3
1988,10,19,37.03,141.7,48,5.3
1988,10,28,35.02,140.19,81,4.1
1988,10,30,46.08,149.57,143,4.5
1988,11,4,44.33,148.76,44,4.1
1988,11,5,37.12,135.86,339,4.3
1988,11,9,44.33,148.29,36,5.1
1988,11,10,35.32,140.88,10,4.0
1988,11,29,35.88,141.47,46,4.0
1988,12,3,43.53,146.98,39,4.3
1988,12,20,43.94,146.13,114,4.5
1988,12,21,42.02,142.45,73,4.5
